vehicle_id,camera_id,mean_same_cam,std_same_cam,min_same_cam,max_same_cam
35,S01c004,99.71%,0.20%,99.15%,99.96%
34,S01c004,97.69%,1.38%,94.13%,99.50%
40,S01c004,96.49%,1.80%,91.84%,99.05%
52,S01c004,95.74%,1.75%,91.70%,98.69%
15,S01c004,95.08%,1.75%,91.58%,98.26%
82,S01c004,96.38%,1.82%,91.55%,99.20%
26,S01c004,96.76%,1.64%,91.42%,98.97%
22,S01c004,94.57%,1.76%,90.95%,97.65%
67,S01c004,95.18%,2.17%,90.87%,98.42%
53,S01c004,96.26%,1.99%,90.54%,98.92%
11,S01c004,96.24%,1.69%,90.40%,98.59%
76,S01c004,95.23%,2.30%,90.36%,98.59%
75,S01c004,94.90%,1.99%,89.84%,98.61%
28,S01c004,95.85%,2.29%,89.74%,99.41%
31,S01c004,95.63%,2.61%,89.55%,99.03%
89,S01c004,93.32%,2.18%,89.48%,98.30%
77,S01c004,95.52%,2.74%,89.10%,99.02%
61,S01c004,95.61%,2.72%,88.96%,99.04%
21,S01c004,94.45%,2.12%,88.50%,98.68%
51,S01c004,94.51%,2.43%,88.29%,98.51%
73,S01c004,94.81%,3.55%,87.85%,99.38%
48,S01c004,94.03%,2.72%,87.66%,98.47%
60,S01c004,95.59%,2.50%,87.63%,98.98%
93,S01c004,92.20%,2.51%,87.58%,97.10%
38,S01c004,93.20%,2.30%,87.57%,98.03%
57,S01c004,93.49%,2.56%,86.34%,98.62%
9,S01c004,93.99%,2.83%,86.11%,98.87%
85,S01c004,95.50%,2.45%,86.05%,98.71%
19,S01c004,93.14%,2.97%,86.01%,98.24%
68,S01c004,92.88%,2.91%,85.80%,98.35%
24,S01c004,94.31%,3.17%,85.37%,97.92%
80,S01c004,94.81%,3.25%,85.35%,98.72%
36,S01c004,93.96%,4.17%,85.11%,99.27%
50,S01c004,93.69%,3.61%,84.76%,98.75%
58,S01c004,92.75%,3.33%,84.23%,97.28%
92,S01c004,90.61%,3.24%,84.13%,97.14%
32,S01c004,91.31%,4.01%,83.94%,97.54%
29,S01c004,94.23%,3.78%,83.81%,99.03%
4,S01c004,93.44%,4.43%,83.80%,98.63%
49,S01c004,93.89%,3.38%,83.68%,98.65%
66,S01c004,91.04%,3.69%,83.48%,98.22%
37,S01c004,91.51%,3.11%,83.34%,97.23%
69,S01c004,91.59%,4.17%,82.70%,97.50%
20,S01c004,91.60%,3.19%,82.40%,96.44%
64,S01c004,93.56%,3.75%,82.34%,98.19%
27,S01c004,94.08%,4.69%,82.24%,99.06%
16,S01c004,91.68%,4.14%,82.06%,97.35%
47,S01c004,92.52%,4.99%,81.98%,98.45%
33,S01c004,90.76%,3.62%,81.94%,96.46%
72,S01c004,93.15%,5.23%,81.93%,98.86%
8,S01c004,93.16%,3.92%,81.52%,98.72%
59,S01c004,89.19%,3.69%,80.94%,95.44%
65,S01c004,91.95%,3.91%,80.80%,97.54%
1,S01c004,91.21%,6.00%,80.50%,98.78%
12,S01c004,92.38%,4.96%,80.41%,98.25%
5,S01c004,91.72%,4.60%,79.52%,98.22%
87,S01c004,92.29%,5.82%,78.87%,98.55%
41,S01c004,89.77%,5.24%,78.33%,97.79%
63,S01c004,93.03%,4.48%,78.27%,98.53%
17,S01c004,90.16%,4.67%,78.03%,97.22%
14,S01c004,87.80%,4.98%,78.01%,95.40%
90,S01c004,89.70%,4.79%,77.56%,96.51%
94,S01c004,91.79%,5.80%,77.05%,98.49%
18,S01c004,89.28%,6.19%,76.78%,98.01%
56,S01c004,90.23%,5.52%,75.90%,97.40%
45,S01c004,90.76%,6.69%,75.69%,98.72%
6,S01c004,91.03%,5.63%,74.94%,97.83%
44,S01c004,90.38%,8.55%,73.91%,99.20%
74,S01c004,91.57%,7.11%,73.68%,99.08%
30,S01c004,90.22%,5.79%,73.49%,98.33%
54,S01c004,88.02%,7.19%,72.89%,98.30%
83,S01c004,84.41%,7.08%,72.28%,96.32%
13,S01c004,90.58%,6.08%,71.18%,98.28%
79,S01c004,89.04%,6.65%,70.86%,97.11%
71,S01c004,86.45%,9.18%,70.18%,98.63%
55,S01c004,88.97%,5.91%,69.99%,97.18%
46,S01c004,91.06%,9.67%,68.95%,98.81%
91,S01c004,85.76%,8.68%,68.23%,97.17%
39,S01c004,84.05%,9.98%,64.28%,96.83%
23,S01c004,88.71%,7.86%,64.19%,97.31%
7,S01c004,84.24%,11.04%,59.47%,98.48%
