epoch,phase,loss,accuracy
0,train,0.6827,0.3697
0,val,10.8797,0.0000
1,train,0.7541,0.6703
1,val,12.6566,0.0000
2,train,0.9848,0.7208
2,val,13.6532,0.0000
3,train,0.8986,0.7865
3,val,13.7724,0.0000
4,train,0.6508,0.8500
4,val,14.0302,0.0000
5,train,0.5531,0.8773
5,val,13.6314,0.0000
6,train,0.4891,0.8942
6,val,13.1736,0.0000
7,train,0.4409,0.9065
7,val,13.0280,0.0000
8,train,0.4084,0.9147
8,val,12.8935,0.0000
9,train,0.3729,0.9243
9,val,12.3036,0.0000
10,train,0.1952,0.9682
10,val,12.4475,0.0000
11,train,0.1300,0.9813
11,val,12.1019,0.0000
12,train,0.1106,0.9866
12,val,11.8380,0.0000
13,train,0.1027,0.9867
13,val,11.6645,0.0000
14,train,0.1064,0.9873
14,val,11.3017,0.0000
15,train,0.1069,0.9890
15,val,11.1115,0.0000
16,train,0.0947,0.9896
16,val,10.9396,0.0000
17,train,0.0952,0.9908
17,val,10.8480,0.0000
18,train,0.0942,0.9905
18,val,10.6765,0.0000
19,train,0.0910,0.9909
19,val,10.5916,0.0000
20,train,0.0915,0.9921
20,val,10.5274,0.0000
21,train,0.0831,0.9922
21,val,10.5773,0.0000
22,train,0.0894,0.9916
22,val,10.4855,0.0000
23,train,0.0810,0.9922
23,val,10.5032,0.0000
24,train,0.0824,0.9925
24,val,10.4753,0.0000
25,train,0.0860,0.9924
25,val,10.4975,0.0000
26,train,0.0794,0.9934
26,val,10.5234,0.0000
27,train,0.0860,0.9922
27,val,10.5076,0.0000
28,train,0.0804,0.9926
28,val,10.4440,0.0000
29,train,0.0814,0.9931
29,val,10.4866,0.0000
30,train,0.0796,0.9926
30,val,10.5244,0.0000
31,train,0.0865,0.9922
31,val,10.4013,0.0000
32,train,0.0817,0.9924
32,val,10.4784,0.0000
33,train,0.0816,0.9930
33,val,10.3629,0.0000
34,train,0.0816,0.9934
34,val,10.3837,0.0000
35,train,0.0815,0.9932
35,val,10.3408,0.0000
36,train,0.0822,0.9934
36,val,10.5031,0.0000
37,train,0.0791,0.9936
37,val,10.4549,0.0000
38,train,0.0773,0.9927
38,val,10.3758,0.0000
39,train,0.0799,0.9935
39,val,10.4660,0.0000
40,train,0.0815,0.9928
40,val,10.4048,0.0000
41,train,0.0817,0.9931
41,val,10.4135,0.0000
42,train,0.0809,0.9929
42,val,10.3808,0.0000
43,train,0.0783,0.9928
43,val,10.3521,0.0000
44,train,0.0850,0.9924
44,val,10.3596,0.0000
45,train,0.0852,0.9929
45,val,10.3742,0.0000
46,train,0.0759,0.9934
46,val,10.4244,0.0000
47,train,0.0778,0.9935
47,val,10.4391,0.0000
48,train,0.0792,0.9939
48,val,10.3904,0.0000
49,train,0.0782,0.9931
49,val,10.4304,0.0000
